airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price,day,holiday
에어부산,2023-08-05,09:15,10:25,CJU,GMP,70,일반석,118700,토요일,주말
진에어,2023-08-05,09:15,10:25,CJU,GMP,70,일반석,119700,토요일,주말
아시아나항공,2023-08-05,09:20,10:30,CJU,GMP,70,할인석,102700,토요일,주말
아시아나항공,2023-08-05,09:20,10:30,CJU,GMP,70,일반석,132700,토요일,주말
이스타항공,2023-08-05,09:25,10:30,CJU,GMP,65,할인석,95600,토요일,주말
이스타항공,2023-08-05,09:25,10:30,CJU,GMP,65,일반석,119600,토요일,주말
대한항공,2023-08-05,09:35,10:45,CJU,GMP,70,할인석,106700,토요일,주말
대한항공,2023-08-05,09:35,10:45,CJU,GMP,70,일반석,129700,토요일,주말
대한항공,2023-08-05,09:35,10:45,CJU,GMP,70,비즈니스석,189700,토요일,주말
티웨이항공,2023-08-05,09:45,10:55,CJU,GMP,70,할인석,96000,토요일,주말
제주항공,2023-08-05,09:45,10:55,CJU,GMP,70,할인석,96600,토요일,주말
티웨이항공,2023-08-05,09:45,10:55,CJU,GMP,70,일반석,118700,토요일,주말
제주항공,2023-08-05,09:45,10:55,CJU,GMP,70,일반석,119200,토요일,주말
이스타항공,2023-08-05,09:50,11:00,CJU,GMP,70,할인석,95600,토요일,주말
아시아나항공,2023-08-05,09:50,11:00,CJU,GMP,70,할인석,108700,토요일,주말
이스타항공,2023-08-05,09:50,11:00,CJU,GMP,70,일반석,119600,토요일,주말
아시아나항공,2023-08-05,09:50,11:00,CJU,GMP,70,일반석,132700,토요일,주말
아시아나항공,2023-08-05,09:50,11:00,CJU,GMP,70,비즈니스석,189700,토요일,주말
대한항공,2023-08-05,10:05,11:15,CJU,GMP,70,할인석,118700,토요일,주말
대한항공,2023-08-05,10:05,11:15,CJU,GMP,70,일반석,129700,토요일,주말
제주항공,2023-08-05,10:10,11:20,CJU,GMP,70,할인석,89600,토요일,주말
제주항공,2023-08-05,10:10,11:20,CJU,GMP,70,일반석,119200,토요일,주말
아시아나항공,2023-08-05,10:20,11:30,CJU,GMP,70,할인석,114700,토요일,주말
아시아나항공,2023-08-05,10:20,11:30,CJU,GMP,70,일반석,132700,토요일,주말
제주항공,2023-08-05,10:50,12:00,CJU,GMP,70,할인석,89600,토요일,주말
제주항공,2023-08-05,10:50,12:00,CJU,GMP,70,일반석,119200,토요일,주말
대한항공,2023-08-05,10:50,12:00,CJU,GMP,70,일반석,129700,토요일,주말
대한항공,2023-08-05,10:55,12:05,CJU,GMP,70,일반석,129700,토요일,주말
